City,State,Forecast_2025,AttractivenessRank,Latitude,Longitude
Lafayette,IN,32119.96918,142
Waco,TX,31918.24766,143
Ocala,FL,31916.44939,144
Idaho Falls,ID,31879.76449,145
Charleston,SC,31616.04699,146
McAllen,TX,31551.32549,147
Harrisonburg,VA,30695.01072,148
Hagerstown,MD,30368.97939,149
Lawton,OK,30183.51642,150
Paducah,KY,29678.33122,151
Vallejo,CA,29545.39382,152
Valdosta,GA,29500.03251,153
Kennewick,WA,29488.54385,154
Rochester,NY,29408.68823,155
Fayetteville,AR,29284.73639,156
Muncie,IN,29274.25149,157
Springfield,IL,28548.26852,158
College Station,TX,28244.20432,159
Abilene,TX,27949.37397,160
Lawrence,KS,27720.52884,161
Green Bay,WI,27629.25452,162
Wilmington,NC,27583.25398,163
Joplin,MO,27456.97084,164
Concord,NH,27424.36693,165
Fort Smith,AR,27284.89641,166
Pocatello,ID,27096.80174,167
Charlottesville,VA,27063.95658,168
Greeley,CO,27058.8578,169
Kokomo,IN,26842.78535,170
Scranton,PA,26699.9019,171
Gainesville,GA,26406.58499,172
Santa Maria,CA,26332.24382,173
Terre Haute,IN,26241.70466,174
Coeur d'Alene,ID,26139.64475,175
Boulder,CO,25965.95533,176
Durham,NC,25680.74156,177
Mobile,AL,25278.37415,178
Barnstable Town,MA,24671.30524,179
Danville,VA,24380.71875,180
Jonesboro,AR,24276.61938,181
Chico,CA,24221.48955,182
Morgantown,WV,23880.74173,183
Odessa,TX,23622.31054,184
Myrtle Beach,SC,23580.03287,185
Beaumont,TX,23451.37078,186
Columbus,IN,23062.74307,187
Parkersburg,WV,23025.64493,188
Lewiston,ME,22891.62614,189
Bend,OR,22851.53861,190
Pensacola,FL,22641.97291,191
Spartanburg,SC,22574.63337,192
Lubbock,TX,22264.49121,193
Mankato,MN,22249.63523,194
Asheville,NC,22218.64312,195
Redding,CA,22214.64615,196
Albany,NY,22193.88826,197
Norwich,CT,21874.47196,198
Yuma,AZ,21866.8616,199
Battle Creek,MI,21730.53287,200
Wichita Falls,TX,21479.35263,201
Cheyenne,WY,21410.20412,202
Greenville,NC,21108.51141,203
Rome,GA,21031.67979,204
Bismarck,ND,21020.33205,205
Lake Charles,LA,20935.29668,206
Pittsfield,MA,20518.08142,207
Syracuse,NY,20289.3034,208
Bloomington,IL,19723.38429,209
Danville,KY,19618.67079,210
Olympia,WA,19564.4919,211
San Luis Obispo,CA,19534.41543,212
Statesboro,GA,19513.69547,213
Casper,WY,19445.67671,214
Appleton,WI,19404.30436,215
Canton,OH,19333.25259,216
Torrington,CT,19271.10664,217
Yakima,WA,19051.61493,218
Hinesville,GA,18983.84856,219
Dalton,GA,18972.72527,220
Bangor,ME,18966.12047,221
Santa Cruz,CA,18812.51809,222
Bozeman,MT,18765.43071,223
Great Falls,MT,18594.1551,224
Medford,OR,18296.24788,225
Longview,TX,18223.1097,226
Kalamazoo,MI,18059.51213,227
Harrisburg,PA,17670.46158,228
Erie,PA,17635.9261,229
LaGrange,GA,17611.32669,230
Enid,OK,17427.48746,231
Grand Junction,CO,17366.87882,232
Kingsport,TN,17191.32436,233
Oshkosh,WI,17174.34167,234
Janesville,WI,17164.60627,235
Decatur,IL,16944.03571,236
Dothan,AL,16921.3587,237
Lewiston,ID,16906.64223,238
Flagstaff,AZ,16744.76886,239
Elkhart,IN,16703.27558,240
Jacksonville,NC,16684.80993,241
Youngstown,OH,16412.12398,242
Auburn,AL,16271.35391,243
Winchester,VA,16236.99898,244
Springfield,OH,16124.1643,245
Bremerton,WA,16105.90307,246
Merced,CA,16041.01222,247
Burlington,NC,15751.84562,248
Champaign,IL,15633.96966,249
Manhattan,KS,15576.8504,250
Altoona,PA,15381.99537,251
Bardstown,KY,15378.97323,252
Staunton,VA,15297.48152,253
Cleveland,TN,15149.15405,254
Hanford,CA,14920.96455,255
Midland,TX,14727.17039,256
Tuscaloosa,AL,14306.95776,257
Fairmont,WV,14292.0963,258
Holland,MI,14177.59046,259
Rocky Mount,NC,14066.68145,260
Pine Bluff,AR,13981.23776,261
Racine,WI,13849.17959,262
Montgomery,AL,13685.34953,263
Salina,KS,13602.98072,264
Decatur,AL,13499.0605,265
Somerset,KY,13449.76021,266
Clarksburg,WV,13445.5389,267
Mansfield,OH,13282.34692,268
Crestview,FL,13111.54105,269
Cumberland,MD,13043.1799,270
Corvallis,OR,13038.51487,271
Austin,MN,12917.9987,272
Longview,WA,12615.12383,273
Heber,UT,12515.08284,274
Monroe,LA,12389.82868,275
Mount Vernon,WA,12314.54549,276
Wenatchee,WA,12199.20954,277
Albany,OR,12178.4146,278
Burlington,IA,12114.37606,279
Bartlesville,OK,12080.45524,280
Hickory,NC,11710.40314,281
Augusta,ME,11701.47413,282
Alexandria,LA,11644.68578,283
Hot Springs,AR,11582.49308,284
Saginaw,MI,11550.09617,285
Cookeville,TN,11196.19617,286
Findlay,OH,11169.05352,287
Sebastian,FL,11079.90986,288
Peoria,IL,11067.4228,289
Muskegon,MI,10786.07178,290
St. Marys,GA,10597.28463,291
Willmar,MN,10490.15502,292
El Centro,CA,10475.75784,293
Helena,MT,10420.12452,294
Key West,FL,10387.35683,295
Wausau,WI,10373.41041,296
Monroe,MI,10364.78837,297
Lebanon,PA,10357.69398,298
Jackson,MI,10304.61774,299
Shawnee,OK,10276.56129,300
Napa,CA,10107.62401,301
Santa Fe,NM,9914.790823,302
Williamsport,PA,9876.128211,303
Quincy,IL,9814.620273,304
Warrensburg,MO,9778.489347,305
Lima,OH,9706.040951,306
Florence,AL,9664.141822,307
Morristown,TN,9653.699133,308
Pueblo,CO,9649.465296,309
Lebanon,NH,9582.740416,310
Missoula,MT,9490.607031,311
Kalispell,MT,9426.153854,312
Sierra Vista,AZ,9348.020896,313
La Crosse,WI,9254.239986,314
London,KY,9112.749975,315
Florence,SC,9048.798072,316
Mount Pleasant,MI,9028.13334,317
